"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000171368.12",1252.51921046229,-3.70990792329162,0.343210231569068,-10.8094327675807,3.1058456064878e-27,2.54723708954949e-24
"ENSG00000163017.14",108179.010486959,-5.73359632317434,0.534227790722013,-10.732493559396,7.16365607692476e-27,5.60816584603978e-24
"ENSG00000130176.8",56028.600340271,-5.81117154763608,0.543662184464431,-10.6889383034076,1.1467615026441e-26,8.58724928697365e-24
"ENSG00000162882.15",598.059442214649,-2.99414521440526,0.280836212109429,-10.6615353907372,1.54033240123625e-26,1.10538103943716e-23
"ENSG00000101955.15",2171.38701690866,-3.24582447137358,0.304759753579527,-10.6504367235176,1.73548938231592e-26,1.19561334526508e-23
"ENSG00000149451.18",1290.83574562419,-3.57379245121141,0.335754110477523,-10.6440765419927,1.85817565441108e-26,1.23089843445854e-23
"ENSG00000100628.12",1457.65772470018,-4.77421685410336,0.44952323042654,-10.6206232091125,2.3896039960226e-26,1.52430183790731e-23
"ENSG00000141052.18",2803.26757940585,-5.48235254613546,0.525597630862245,-10.4307025454845,1.795557462945e-25,1.10446022086792e-22
"ENSG00000022267.19",20402.3608856869,-5.25105492716204,0.504766365647059,-10.4029414092017,2.40395761221129e-25,1.42770213638328e-22
"ENSG00000154330.13",12481.5990397886,-5.71354273531302,0.549798302117471,-10.3920705344271,2.69439420130302e-25,1.54685171096806e-22
"ENSG00000103241.7",2674.30096841886,-3.39346888793681,0.327495163444319,-10.3618900879242,3.69585539637863e-25,2.05334572554287e-22
"ENSG00000133392.18",376549.46383121,-6.43733631643672,0.621659055521171,-10.3550913628049,3.96807544633928e-25,2.13569260663442e-22
"ENSG00000239474.7",269.787572362128,-5.87277492609137,0.567557832528925,-10.347447589479,4.29791154563868e-25,2.24311910759197e-22
"ENSG00000131831.18",975.273219631624,-3.0894142839822,0.29948338508503,-10.3158119543261,5.97739020315612e-25,3.027899749087e-22
"ENSG00000111077.18",4009.02967244921,-2.39742182459928,0.23320996722432,-10.28010017382,8.66375071852194e-25,4.26330796071724e-22
"ENSG00000179094.16",5610.19380609526,-2.40062084025288,0.234731416325498,-10.2270964740569,1.49947735750103e-24,7.17374959117784e-22
"ENSG00000132554.20",58.7328460166033,-3.72693292213228,0.364598204905901,-10.2220276237898,1.580008276474e-24,7.35472501235449e-22
"ENSG00000163431.13",17099.6012011362,-5.20829511878364,0.51107500223669,-10.1908625857063,2.17822823673809e-24,9.87253287403688e-22
"ENSG00000198835.4",154.086256685149,-2.66649268123442,0.26194770799861,-10.1794846826778,2.44854572451152e-24,1.08131546187851e-21
"ENSG00000166482.12",12651.3002226402,-3.50256818288429,0.345582755139413,-10.1352516316137,3.85380062349752e-24,1.65935020346245e-21
"ENSG00000158246.8",1868.79923455162,-4.73158871522276,0.467890108281216,-10.1126068525025,4.85742799281781e-24,2.04047517854393e-21
"ENSG00000144655.15",6752.97956546783,-3.08774531424896,0.306549788492105,-10.0725736247849,7.30413282111429e-24,2.9952161804298e-21
"ENSG00000135472.9",406.166662581591,-4.07172955598988,0.407621953516562,-9.98898494269752,1.70316818042789e-23,6.82178269104872e-21
"ENSG00000154734.16",16186.5136747929,-3.25277461618388,0.327706638275118,-9.92587343761126,3.21277421482804e-23,1.2575820523178e-20
"ENSG00000072163.20",5787.27610274418,-3.99510061303537,0.404113334310914,-9.88608955417849,4.7834947545621e-23,1.83080289239607e-20
"ENSG00000122367.20",373.771474733626,-3.6491570523146,0.369691078983158,-9.87082799604381,5.57028852429104e-23,2.08558867943184e-20
"ENSG00000123243.15",6122.02084879078,-3.9802514216801,0.404148376639387,-9.84849043506513,6.95811611028664e-23,2.549779441861e-20
"ENSG00000108405.4",2954.21397016825,-5.72612873463426,0.581655452204407,-9.84453719626094,7.23715364339933e-23,2.59678119167222e-20
"ENSG00000112658.8",6231.88478389099,-2.07029521475539,0.210735942235441,-9.82412014198502,8.86447079025734e-23,2.99358392981573e-20
"ENSG00000131471.7",9110.52738442048,-4.05134313374813,0.412345600931043,-9.82511544830484,8.77734023851365e-23,2.99358392981573e-20
"ENSG00000132561.14",5552.18387000392,-3.13521584756847,0.319039119524083,-9.82705773588308,8.60974389175e-23,2.99358392981573e-20
"ENSG00000168497.5",3491.88713656646,-3.97593525912975,0.405220569789095,-9.81178043651412,1.00185050499633e-22,3.31824447068303e-20
"ENSG00000261625.1",116.971998172762,-3.1411603156024,0.321087489928935,-9.78287978861345,1.33360972906889e-22,4.33372837051952e-20
"ENSG00000065534.19",42706.5270081227,-4.96470167205912,0.507738975445113,-9.77805902670122,1.39866995684856e-22,4.460980123482e-20
"ENSG00000133800.9",1039.72954284253,-4.47877370468817,0.45829103628031,-9.77277177629276,1.47364205616603e-22,4.61464311515411e-20
"ENSG00000116741.8",8251.03589209236,-3.1421184477932,0.324642826763273,-9.6786935941893,3.71431724440194e-22,1.12776946219713e-19
"ENSG00000145936.9",3160.40165101155,-4.6395169642688,0.479378211058294,-9.67819741749717,3.73238456396891e-22,1.12776946219713e-19
"ENSG00000168490.14",678.879896994581,-3.65127577002245,0.377829358412289,-9.66382227512918,4.29531835041742e-22,1.27548737843516e-19
"ENSG00000168306.13",332.667333670165,-3.5043336077449,0.363007564452108,-9.65361042278564,4.74549045094467e-22,1.36219303394367e-19
"ENSG00000180525.13",95.8928635813678,-3.55140933376216,0.367880852430047,-9.65369442389629,4.74160339164824e-22,1.36219303394367e-19
"ENSG00000162630.6",57.875599137606,-3.36556170653173,0.348783931276647,-9.64941731751468,4.94358209709547e-22,1.3957920402996e-19
"ENSG00000078596.11",1348.01266036395,-3.15555731854301,0.327240476915583,-9.6429309365572,5.26624532793544e-22,1.462911988436e-19
"ENSG00000118407.15",1030.47724321434,-4.6973072278477,0.487753411583337,-9.63049589463533,5.94419172709372e-22,1.62502879548786e-19
"ENSG00000187824.9",184.687036102297,-2.65116368020364,0.275720954574569,-9.61538699260027,6.88499579474416e-22,1.85281691520123e-19
"ENSG00000188783.6",6965.36288481521,-4.40808466877033,0.458924840097647,-9.60524313269338,7.59784017500261e-22,2.013193866678e-19
"ENSG00000161281.11",931.621517503783,-3.2667337898146,0.340443687752972,-9.59551875194395,8.34960156348072e-22,2.17886648072467e-19
"ENSG00000268388.6",2760.54889159746,-4.33025130271216,0.451752544028468,-9.58544973338165,9.2055706151557e-22,2.3663812344004e-19
"ENSG00000100307.13",3018.28982080056,-2.82398968120726,0.295135965639289,-9.56843628017434,1.08534759729359e-21,2.74896201002756e-19
"ENSG00000168477.19",5086.53530953608,-4.51330396837205,0.471950112979752,-9.56309542946477,1.14286283514363e-21,2.85268501589546e-19
"ENSG00000163827.13",197.614141416869,-4.09360197237045,0.428163343410755,-9.56084175670146,1.16802783853287e-21,2.87384906615024e-19
"ENSG00000149596.7",4261.8433417758,-4.88498046278963,0.512781383533013,-9.52643878982619,1.62771295885936e-21,3.94846482963871e-19
"ENSG00000095637.22",20630.7982784998,-5.01075438271063,0.526618910584213,-9.51495337900394,1.81794391825185e-21,4.17662932440569e-19
"ENSG00000152583.12",26259.4796983531,-3.36959938398749,0.354074183072266,-9.51664805027529,1.7885507146526e-21,4.17662932440569e-19
"ENSG00000165197.5",301.715106578302,-4.35821592467784,0.458040880919623,-9.51490599687896,1.81877256767361e-21,4.17662932440569e-19
"ENSG00000172935.9",1582.48895454904,-3.42790944634632,0.360163840092945,-9.51763909853276,1.77157987921966e-21,4.17662932440569e-19
"ENSG00000173175.15",2113.53068384259,-4.15278354641239,0.438095724075064,-9.47916931894283,2.56315317607825e-21,5.80857725678892e-19
"ENSG00000120129.6",45486.2356895879,-3.08202395980973,0.325246308933211,-9.47596905839944,2.64295982874616e-21,5.91164897798639e-19
"ENSG00000101335.10",110829.90010146,-4.64577397706244,0.491725081579897,-9.44790931171482,3.4566564175794e-21,7.63256326666281e-19
"ENSG00000132840.10",553.674967852913,-4.25413193857307,0.450549751930268,-9.44209140133204,3.65411824545838e-21,7.96644032171262e-19
"ENSG00000229619.4",1418.74329815665,-4.62828265938989,0.490358303231516,-9.43857303708122,3.77890433984029e-21,8.13550868063366e-19
"ENSG00000106034.18",2248.0171718826,-4.36268541983997,0.464186268729558,-9.39856629490636,5.53115842977254e-21,1.17608816834534e-18
"ENSG00000184347.15",6016.20269212816,-3.39065200745197,0.362822943809562,-9.34519733468579,9.17182797126594e-21,1.91080692581057e-18
"ENSG00000198624.13",6138.06264050531,-3.21905562098333,0.344476497918061,-9.34477574069229,9.20844073867952e-21,1.91080692581057e-18
"ENSG00000160801.14",168.265807985528,-2.78235319355064,0.297902965206492,-9.33979690877546,9.65190762495641e-21,1.97898577410267e-18
"ENSG00000079308.19",53064.9869148111,-4.56667114647782,0.489240522227336,-9.33420462738329,1.0175233076026e-20,2.06174163845172e-18
"ENSG00000112183.15",316.939513839447,-3.43810996017949,0.368398319698016,-9.33258860408966,1.03316190512281e-20,2.0690869176663e-18
"ENSG00000147408.14",1310.9800580814,-2.47175414804974,0.265979898190645,-9.29301110671933,1.49983970068162e-20,2.96916542124593e-18
"ENSG00000187942.12",104.48156655117,-4.14948508812658,0.446975454476468,-9.28347417418428,1.64040608475441e-20,3.21053568155967e-18
"ENSG00000121577.14",1410.6898313797,-5.10538843457086,0.550455546148477,-9.27484239243863,1.7788183156186e-20,3.44231324156171e-18
"ENSG00000164188.9",695.398082220781,-5.59535911014962,0.604086035257113,-9.26252021000303,1.99662810927358e-20,3.82088065844655e-18
"ENSG00000036448.10",212.448736215741,-2.95339918383269,0.319465927462021,-9.24480180811706,2.35677068757094e-20,4.4605122584653e-18
"ENSG00000077943.8",2143.98675939212,-3.4502297496199,0.374740078759571,-9.2069942479612,3.35384662524258e-20,6.2690755864286e-18
"ENSG00000163380.16",106.597434834628,-4.17838227988716,0.45398883470013,-9.20371154644601,3.45794681943167e-20,6.2690755864286e-18
"ENSG00000186198.4",36.9673760680289,-2.99758049124973,0.32567336751985,-9.20425429342797,3.44051758896571e-20,6.2690755864286e-18
"ENSG00000243742.5",105.9729499318,3.69787099555781,0.401727006777007,9.20493502596514,3.41877995811906e-20,6.2690755864286e-18
"ENSG00000109846.9",6760.64279821578,-4.53334134107949,0.49267803318631,-9.20142777984415,3.5322467925186e-20,6.3370715112029e-18
"ENSG00000138356.14",942.352664361969,-4.08739865156359,0.444376428358488,-9.19805460128097,3.64488564052317e-20,6.47173869966295e-18
"ENSG00000123358.20",26724.9201446959,-3.56831283957357,0.388139264976526,-9.19338279210008,3.80677477154296e-20,6.69021243778412e-18
"ENSG00000128849.11",1682.03912025088,-3.48594784641059,0.380042027284858,-9.17253249940623,4.62034464780153e-20,8.03799958273594e-18
"ENSG00000153902.14",526.047354024214,-2.5786191070321,0.28122350895672,-9.169287150275,4.76157276064049e-20,8.13573330799597e-18
"ENSG00000183963.19",21812.0352097771,-3.76871806553529,0.411024939383007,-9.16907395252597,4.77099845617832e-20,8.13573330799597e-18
"ENSG00000175084.12",165963.731137212,-6.15348739571978,0.672555620938803,-9.14941040434735,5.72451187335779e-20,9.66600666616091e-18
"ENSG00000163145.13",608.868081312382,-3.47254576515049,0.379698146551814,-9.14554310229331,5.93309834177241e-20,9.92094686799478e-18
"ENSG00000162407.9",5066.50376716602,-2.31156725179851,0.253467726783062,-9.11976953096254,7.52842552816403e-20,1.24675070068816e-17
"ENSG00000110583.13",1076.26730507966,1.06087789520106,0.116399111007854,9.11414087285833,7.92962305726237e-20,1.30068474204981e-17
"ENSG00000160298.18",328.695194904169,2.39028560007851,0.262316426493594,9.11222233403246,8.07114396872387e-20,1.31140860918237e-17
"ENSG00000165410.15",4470.03357034638,-3.75028923428317,0.413138636344268,-9.07755630765566,1.11039784419328e-19,1.78732542715335e-17
