"Ensembl_with_version","Ensembl","PosDegree","NegDegree","TotalDiffDegree","PosRank","NegRank","PolarScore"
"ENSG00000164530.15","ENSG00000164530",1,5,6,370,355,-4
"ENSG00000100307.13","ENSG00000100307",1,5,6,370,355,-4
"ENSG00000131018.24","ENSG00000131018",1,5,6,370,355,-4
"ENSG00000178222.13","ENSG00000178222",5,1,6,239,473,4
"ENSG00000213088.12","ENSG00000213088",5,1,6,239,473,4
"ENSG00000126524.10","ENSG00000126524",5,1,6,239,473,4
"ENSG00000122035.7","ENSG00000122035",4,0,4,262,556,4
"ENSG00000187955.12","ENSG00000187955",0,4,4,487,371,-4
"ENSG00000126785.13","ENSG00000126785",0,4,4,487,371,-4
"ENSG00000164303.11","ENSG00000164303",0,4,4,487,371,-4
"ENSG00000108379.10","ENSG00000108379",0,4,4,487,371,-4
"ENSG00000164949.8","ENSG00000164949",4,0,4,262,556,4
"ENSG00000183801.8","ENSG00000183801",0,4,4,487,371,-4
"ENSG00000111341.10","ENSG00000111341",0,4,4,487,371,-4
"ENSG00000275437.1","ENSG00000275437",0,4,4,487,371,-4
"ENSG00000127337.7","ENSG00000127337",9,6,15,170,337,3
"ENSG00000153044.10","ENSG00000153044",8,5,13,179,355,3
"ENSG00000123473.16","ENSG00000123473",7,4,11,206,371,3
"ENSG00000109846.9","ENSG00000109846",6,3,9,219,391,3
"ENSG00000118785.14","ENSG00000118785",6,3,9,219,391,3
"ENSG00000025423.11","ENSG00000025423",1,4,5,370,371,-3
"ENSG00000154920.15","ENSG00000154920",1,4,5,370,371,-3
"ENSG00000170271.11","ENSG00000170271",1,4,5,370,371,-3
"ENSG00000073111.14","ENSG00000073111",1,4,5,370,371,-3
"ENSG00000086300.16","ENSG00000086300",1,4,5,370,371,-3
"ENSG00000259363.6","ENSG00000259363",1,4,5,370,371,-3
"ENSG00000103241.7","ENSG00000103241",0,3,3,487,391,-3
"ENSG00000132554.20","ENSG00000132554",0,3,3,487,391,-3
"ENSG00000166482.12","ENSG00000166482",3,0,3,282,556,3
"ENSG00000147408.14","ENSG00000147408",0,3,3,487,391,-3
"ENSG00000036448.10","ENSG00000036448",3,0,3,282,556,3
"ENSG00000162407.9","ENSG00000162407",0,3,3,487,391,-3
"ENSG00000166501.14","ENSG00000166501",0,3,3,487,391,-3
"ENSG00000138722.10","ENSG00000138722",3,0,3,282,556,3
"ENSG00000109906.14","ENSG00000109906",3,0,3,282,556,3
"ENSG00000149090.12","ENSG00000149090",0,3,3,487,391,-3
"ENSG00000108342.13","ENSG00000108342",0,3,3,487,391,-3
"ENSG00000145777.15","ENSG00000145777",3,0,3,282,556,3
"ENSG00000187720.14","ENSG00000187720",3,0,3,282,556,3
"ENSG00000198771.11","ENSG00000198771",0,3,3,487,391,-3
"ENSG00000198121.13","ENSG00000198121",0,3,3,487,391,-3
"ENSG00000277075.2","ENSG00000277075",3,0,3,282,556,3
"ENSG00000129596.5","ENSG00000129596",0,3,3,487,391,-3
"ENSG00000125740.14","ENSG00000125740",3,0,3,282,556,3
"ENSG00000184588.18","ENSG00000184588",0,3,3,487,391,-3
"ENSG00000175287.19","ENSG00000175287",0,3,3,487,391,-3
"ENSG00000081041.9","ENSG00000081041",0,3,3,487,391,-3
"ENSG00000105825.14","ENSG00000105825",0,3,3,487,391,-3
"ENSG00000258498.8","ENSG00000258498",0,3,3,487,391,-3
"ENSG00000101115.13","ENSG00000101115",28,30,58,41,213,-2
"ENSG00000171747.9","ENSG00000171747",15,13,28,101,267,2
"ENSG00000132329.11","ENSG00000132329",12,10,22,137,292,2
"ENSG00000247373.3","ENSG00000247373",11,9,20,147,302,2
"ENSG00000136295.15","ENSG00000136295",8,6,14,179,337,2
"ENSG00000119640.9","ENSG00000119640",8,6,14,179,337,2
"ENSG00000182916.8","ENSG00000182916",4,6,10,262,337,-2
"ENSG00000186198.4","ENSG00000186198",3,5,8,282,355,-2
"ENSG00000279204.1","ENSG00000279204",5,3,8,239,391,2
"ENSG00000112183.15","ENSG00000112183",2,4,6,316,371,-2
"ENSG00000164330.17","ENSG00000164330",4,2,6,262,434,2
"ENSG00000162630.6","ENSG00000162630",1,3,4,370,391,-2
"ENSG00000129682.16","ENSG00000129682",1,3,4,370,391,-2
"ENSG00000184445.12","ENSG00000184445",1,3,4,370,391,-2
"ENSG00000103175.11","ENSG00000103175",1,3,4,370,391,-2
"ENSG00000169258.7","ENSG00000169258",3,1,4,282,473,2
"ENSG00000196584.3","ENSG00000196584",1,3,4,370,391,-2
"ENSG00000272476.1","ENSG00000272476",3,1,4,282,473,2
"ENSG00000112936.19","ENSG00000112936",1,3,4,370,391,-2
"ENSG00000135709.12","ENSG00000135709",1,3,4,370,391,-2
"ENSG00000198056.15","ENSG00000198056",3,1,4,282,473,2
"ENSG00000012048.23","ENSG00000012048",1,3,4,370,391,-2
"ENSG00000197766.8","ENSG00000197766",0,2,2,487,434,-2
"ENSG00000101955.15","ENSG00000101955",0,2,2,487,434,-2
"ENSG00000149451.18","ENSG00000149451",0,2,2,487,434,-2
"ENSG00000120129.6","ENSG00000120129",2,0,2,316,556,2
"ENSG00000181804.15","ENSG00000181804",0,2,2,487,434,-2
"ENSG00000185739.13","ENSG00000185739",2,0,2,316,556,2
"ENSG00000134201.12","ENSG00000134201",0,2,2,487,434,-2
"ENSG00000068831.19","ENSG00000068831",2,0,2,316,556,2
"ENSG00000131473.17","ENSG00000131473",0,2,2,487,434,-2
"ENSG00000143630.10","ENSG00000143630",2,0,2,316,556,2
"ENSG00000158887.19","ENSG00000158887",2,0,2,316,556,2
"ENSG00000124491.16","ENSG00000124491",0,2,2,487,434,-2
"ENSG00000112511.18","ENSG00000112511",2,0,2,316,556,2
"ENSG00000104332.12","ENSG00000104332",0,2,2,487,434,-2
"ENSG00000131435.13","ENSG00000131435",2,0,2,316,556,2
"ENSG00000150672.17","ENSG00000150672",2,0,2,316,556,2
"ENSG00000145861.9","ENSG00000145861",2,0,2,316,556,2
"ENSG00000176697.20","ENSG00000176697",2,0,2,316,556,2
"ENSG00000180139.11","ENSG00000180139",0,2,2,487,434,-2
"ENSG00000257596.1","ENSG00000257596",0,2,2,487,434,-2
"ENSG00000168060.16","ENSG00000168060",2,0,2,316,556,2
"ENSG00000137135.18","ENSG00000137135",0,2,2,487,434,-2
"ENSG00000166979.13","ENSG00000166979",2,0,2,316,556,2
"ENSG00000156876.10","ENSG00000156876",2,0,2,316,556,2
"ENSG00000105613.10","ENSG00000105613",2,0,2,316,556,2
"ENSG00000163661.4","ENSG00000163661",2,0,2,316,556,2
"ENSG00000145604.17","ENSG00000145604",15,16,31,101,254,-1
"ENSG00000117593.12","ENSG00000117593",12,11,23,137,284,1
"ENSG00000159055.4","ENSG00000159055",11,10,21,147,292,1
"ENSG00000120802.14","ENSG00000120802",10,11,21,160,284,-1
"ENSG00000124766.7","ENSG00000124766",9,10,19,170,292,-1
"ENSG00000106617.15","ENSG00000106617",8,9,17,179,302,-1
"ENSG00000174442.12","ENSG00000174442",8,7,15,179,322,1
"ENSG00000198835.4","ENSG00000198835",5,4,9,239,371,1
"ENSG00000122565.19","ENSG00000122565",4,5,9,262,355,-1
"ENSG00000186594.14","ENSG00000186594",4,3,7,262,391,1
"ENSG00000084774.14","ENSG00000084774",3,4,7,282,371,-1
"ENSG00000197299.12","ENSG00000197299",4,3,7,262,391,1
"ENSG00000163815.6","ENSG00000163815",3,2,5,282,434,1
"ENSG00000189056.14","ENSG00000189056",3,2,5,282,434,1
"ENSG00000000460.17","ENSG00000000460",3,2,5,282,434,1
"ENSG00000140534.14","ENSG00000140534",2,3,5,316,391,-1
"ENSG00000136518.17","ENSG00000136518",2,3,5,316,391,-1
"ENSG00000267383.7","ENSG00000267383",2,3,5,316,391,-1
"ENSG00000135472.9","ENSG00000135472",1,2,3,370,434,-1
"ENSG00000153234.15","ENSG00000153234",1,2,3,370,434,-1
"ENSG00000240583.13","ENSG00000240583",1,2,3,370,434,-1
"ENSG00000164283.13","ENSG00000164283",1,2,3,370,434,-1
"ENSG00000184557.4","ENSG00000184557",2,1,3,316,473,1
"ENSG00000136732.16","ENSG00000136732",1,2,3,370,434,-1
"ENSG00000204136.11","ENSG00000204136",1,2,3,370,434,-1
"ENSG00000183087.15","ENSG00000183087",1,2,3,370,434,-1
"ENSG00000164035.10","ENSG00000164035",2,1,3,316,473,1
"ENSG00000140451.13","ENSG00000140451",1,2,3,370,434,-1
"ENSG00000149609.6","ENSG00000149609",2,1,3,316,473,1
"ENSG00000166592.12","ENSG00000166592",2,1,3,316,473,1
"ENSG00000185022.12","ENSG00000185022",1,2,3,370,434,-1
"ENSG00000182272.12","ENSG00000182272",1,2,3,370,434,-1
"ENSG00000271943.2","ENSG00000271943",2,1,3,316,473,1
"ENSG00000163145.13","ENSG00000163145",0,1,1,487,473,-1
"ENSG00000116604.18","ENSG00000116604",0,1,1,487,473,-1
"ENSG00000118526.7","ENSG00000118526",0,1,1,487,473,-1
"ENSG00000177374.13","ENSG00000177374",1,0,1,370,556,1
"ENSG00000127920.6","ENSG00000127920",1,0,1,370,556,1
"ENSG00000268754.4","ENSG00000268754",0,1,1,487,473,-1
"ENSG00000121671.12","ENSG00000121671",0,1,1,487,473,-1
"ENSG00000108381.11","ENSG00000108381",1,0,1,370,556,1
"ENSG00000119929.13","ENSG00000119929",0,1,1,487,473,-1
"ENSG00000141338.14","ENSG00000141338",0,1,1,487,473,-1
"ENSG00000108840.15","ENSG00000108840",1,0,1,370,556,1
"ENSG00000119138.4","ENSG00000119138",1,0,1,370,556,1
"ENSG00000178878.13","ENSG00000178878",1,0,1,370,556,1
"ENSG00000116698.21","ENSG00000116698",1,0,1,370,556,1
"ENSG00000174944.9","ENSG00000174944",0,1,1,487,473,-1
"ENSG00000108551.5","ENSG00000108551",1,0,1,370,556,1
"ENSG00000211445.12","ENSG00000211445",0,1,1,487,473,-1
"ENSG00000100448.4","ENSG00000100448",1,0,1,370,556,1
"ENSG00000138346.15","ENSG00000138346",0,1,1,487,473,-1
"ENSG00000280339.1","ENSG00000280339",0,1,1,487,473,-1
"ENSG00000131697.18","ENSG00000131697",0,1,1,487,473,-1
"ENSG00000005102.14","ENSG00000005102",1,0,1,370,556,1
"ENSG00000185271.9","ENSG00000185271",1,0,1,370,556,1
"ENSG00000197580.13","ENSG00000197580",1,0,1,370,556,1
"ENSG00000232063.2","ENSG00000232063",0,1,1,487,473,-1
"ENSG00000102804.15","ENSG00000102804",1,0,1,370,556,1
"ENSG00000273802.2","ENSG00000273802",1,0,1,370,556,1
"ENSG00000103316.12","ENSG00000103316",0,1,1,487,473,-1
"ENSG00000176533.13","ENSG00000176533",0,1,1,487,473,-1
"ENSG00000271849.1","ENSG00000271849",0,1,1,487,473,-1
"ENSG00000169744.13","ENSG00000169744",1,0,1,370,556,1
"ENSG00000168309.18","ENSG00000168309",0,1,1,487,473,-1
"ENSG00000087274.17","ENSG00000087274",0,1,1,487,473,-1
"ENSG00000146263.11","ENSG00000146263",0,1,1,487,473,-1
"ENSG00000105509.11","ENSG00000105509",1,0,1,370,556,1
"ENSG00000111364.16","ENSG00000111364",1,0,1,370,556,1
"ENSG00000133943.21","ENSG00000133943",0,1,1,487,473,-1
"ENSG00000166912.17","ENSG00000166912",1,0,1,370,556,1
"ENSG00000118523.6","ENSG00000118523",1,0,1,370,556,1
"ENSG00000183682.8","ENSG00000183682",0,1,1,487,473,-1
"ENSG00000198832.10","ENSG00000198832",1,0,1,370,556,1
"ENSG00000213222.3","ENSG00000213222",0,1,1,487,473,-1
"ENSG00000234636.2","ENSG00000234636",1,0,1,370,556,1
"ENSG00000271888.1","ENSG00000271888",1,0,1,370,556,1
"ENSG00000154429.11","ENSG00000154429",0,1,1,487,473,-1
"ENSG00000036672.16","ENSG00000036672",1,0,1,370,556,1
"ENSG00000162804.14","ENSG00000162804",0,1,1,487,473,-1
"ENSG00000185418.16","ENSG00000185418",0,1,1,487,473,-1
"ENSG00000162772.17","ENSG00000162772",1,0,1,370,556,1
"ENSG00000165457.14","ENSG00000165457",0,1,1,487,473,-1
"ENSG00000115364.14","ENSG00000115364",0,1,1,487,473,-1
"ENSG00000196843.17","ENSG00000196843",1,0,1,370,556,1
"ENSG00000171357.6","ENSG00000171357",0,1,1,487,473,-1
"ENSG00000230479.1","ENSG00000230479",0,1,1,487,473,-1
"ENSG00000138356.14","ENSG00000138356",3,3,6,282,391,0
"ENSG00000155011.9","ENSG00000155011",2,2,4,316,434,0
"ENSG00000175785.13","ENSG00000175785",2,2,4,316,434,0
"ENSG00000116161.18","ENSG00000116161",2,2,4,316,434,0
"ENSG00000179094.16","ENSG00000179094",1,1,2,370,473,0
"ENSG00000243742.5","ENSG00000243742",1,1,2,370,473,0
"ENSG00000066735.14","ENSG00000066735",1,1,2,370,473,0
"ENSG00000071242.12","ENSG00000071242",1,1,2,370,473,0
"ENSG00000102010.15","ENSG00000102010",1,1,2,370,473,0
"ENSG00000115363.14","ENSG00000115363",1,1,2,370,473,0
"ENSG00000225697.13","ENSG00000225697",1,1,2,370,473,0
"ENSG00000224848.2","ENSG00000224848",1,1,2,370,473,0
"ENSG00000136160.17","ENSG00000136160",1,1,2,370,473,0
"ENSG00000128482.16","ENSG00000128482",1,1,2,370,473,0
"ENSG00000144395.18","ENSG00000144395",1,1,2,370,473,0
"ENSG00000143248.13","ENSG00000143248",1,1,2,370,473,0
"ENSG00000188649.15","ENSG00000188649",1,1,2,370,473,0
"ENSG00000163507.14","ENSG00000163507",1,1,2,370,473,0
"ENSG00000185842.15","ENSG00000185842",1,1,2,370,473,0
"ENSG00000087586.18","ENSG00000087586",1,1,2,370,473,0
"ENSG00000170381.14","ENSG00000170381",1,1,2,370,473,0
"ENSG00000169994.18","ENSG00000169994",1,1,2,370,473,0
"ENSG00000171791.14","ENSG00000171791",1,1,2,370,473,0
"ENSG00000162222.14","ENSG00000162222",1,1,2,370,473,0
"ENSG00000254389.3","ENSG00000254389",1,1,2,370,473,0
"ENSG00000126218.12","ENSG00000126218",0,0,0,487,556,0
"ENSG00000127528.6","ENSG00000127528",0,0,0,487,556,0
"ENSG00000153446.16","ENSG00000153446",0,0,0,487,556,0
"ENSG00000162882.15","ENSG00000162882",0,0,0,487,556,0
"ENSG00000111077.18","ENSG00000111077",0,0,0,487,556,0
"ENSG00000144655.15","ENSG00000144655",0,0,0,487,556,0
"ENSG00000154734.16","ENSG00000154734",0,0,0,487,556,0
"ENSG00000122367.20","ENSG00000122367",0,0,0,487,556,0
"ENSG00000261625.1","ENSG00000261625",0,0,0,487,556,0
"ENSG00000168490.14","ENSG00000168490",0,0,0,487,556,0
"ENSG00000187824.9","ENSG00000187824",0,0,0,487,556,0
"ENSG00000160801.14","ENSG00000160801",0,0,0,487,556,0
"ENSG00000077943.8","ENSG00000077943",0,0,0,487,556,0
"ENSG00000123358.20","ENSG00000123358",0,0,0,487,556,0
"ENSG00000153902.14","ENSG00000153902",0,0,0,487,556,0
"ENSG00000262097.2","ENSG00000262097",0,0,0,487,556,0
"ENSG00000142871.18","ENSG00000142871",0,0,0,487,556,0
"ENSG00000100583.4","ENSG00000100583",0,0,0,487,556,0
"ENSG00000136244.12","ENSG00000136244",0,0,0,487,556,0
"ENSG00000074416.14","ENSG00000074416",0,0,0,487,556,0
"ENSG00000175899.15","ENSG00000175899",0,0,0,487,556,0
"ENSG00000004799.8","ENSG00000004799",0,0,0,487,556,0
"ENSG00000128016.7","ENSG00000128016",0,0,0,487,556,0
"ENSG00000185052.12","ENSG00000185052",0,0,0,487,556,0
"ENSG00000148339.12","ENSG00000148339",0,0,0,487,556,0
"ENSG00000259658.5","ENSG00000259658",0,0,0,487,556,0
"ENSG00000159713.11","ENSG00000159713",0,0,0,487,556,0
"ENSG00000089486.17","ENSG00000089486",0,0,0,487,556,0
"ENSG00000269113.4","ENSG00000269113",0,0,0,487,556,0
"ENSG00000108691.9","ENSG00000108691",0,0,0,487,556,0
"ENSG00000119508.18","ENSG00000119508",0,0,0,487,556,0
"ENSG00000082175.15","ENSG00000082175",0,0,0,487,556,0
"ENSG00000100739.11","ENSG00000100739",0,0,0,487,556,0
"ENSG00000197245.6","ENSG00000197245",0,0,0,487,556,0
"ENSG00000130052.13","ENSG00000130052",0,0,0,487,556,0
"ENSG00000125885.13","ENSG00000125885",0,0,0,487,556,0
"ENSG00000140287.11","ENSG00000140287",0,0,0,487,556,0
"ENSG00000197757.8","ENSG00000197757",0,0,0,487,556,0
"ENSG00000180806.5","ENSG00000180806",0,0,0,487,556,0
"ENSG00000146374.14","ENSG00000146374",0,0,0,487,556,0
"ENSG00000136161.13","ENSG00000136161",0,0,0,487,556,0
"ENSG00000106484.16","ENSG00000106484",0,0,0,487,556,0
"ENSG00000241839.10","ENSG00000241839",0,0,0,487,556,0
"ENSG00000164056.11","ENSG00000164056",0,0,0,487,556,0
"ENSG00000162881.6","ENSG00000162881",0,0,0,487,556,0
"ENSG00000284946.1","ENSG00000284946",0,0,0,487,556,0
"ENSG00000120738.8","ENSG00000120738",0,0,0,487,556,0
"ENSG00000151468.11","ENSG00000151468",0,0,0,487,556,0
"ENSG00000241644.2","ENSG00000241644",0,0,0,487,556,0
"ENSG00000251034.2","ENSG00000251034",0,0,0,487,556,0
"ENSG00000180537.13","ENSG00000180537",0,0,0,487,556,0
"ENSG00000120915.14","ENSG00000120915",0,0,0,487,556,0
"ENSG00000166295.9","ENSG00000166295",0,0,0,487,556,0
"ENSG00000285077.2","ENSG00000285077",0,0,0,487,556,0
"ENSG00000151789.12","ENSG00000151789",0,0,0,487,556,0
"ENSG00000109775.11","ENSG00000109775",0,0,0,487,556,0
"ENSG00000137449.17","ENSG00000137449",0,0,0,487,556,0
"ENSG00000113621.15","ENSG00000113621",0,0,0,487,556,0
"ENSG00000170989.10","ENSG00000170989",0,0,0,487,556,0
"ENSG00000259319.1","ENSG00000259319",0,0,0,487,556,0
"ENSG00000005249.13","ENSG00000005249",0,0,0,487,556,0
"ENSG00000159200.18","ENSG00000159200",0,0,0,487,556,0
"ENSG00000109445.11","ENSG00000109445",0,0,0,487,556,0
