"Ensembl_with_version","Ensembl","PosDegree","NegDegree","TotalDiffDegree"
"ENSG00000151468.11","ENSG00000151468",0,0,0
"ENSG00000183722.9","ENSG00000183722",0,9,9
"ENSG00000239382.10","ENSG00000239382",38,2,40
"ENSG00000068615.19","ENSG00000068615",8,115,123
"ENSG00000241644.2","ENSG00000241644",0,0,0
"ENSG00000111602.12","ENSG00000111602",38,11,49
"ENSG00000107758.16","ENSG00000107758",0,6,6
"ENSG00000159899.15","ENSG00000159899",2,44,46
"ENSG00000125740.14","ENSG00000125740",3,0,3
"ENSG00000176697.20","ENSG00000176697",2,0,2
"ENSG00000184588.18","ENSG00000184588",0,3,3
"ENSG00000180139.11","ENSG00000180139",0,2,2
"ENSG00000197299.12","ENSG00000197299",4,3,7
"ENSG00000165995.22","ENSG00000165995",15,111,126
"ENSG00000251034.2","ENSG00000251034",0,0,0
"ENSG00000162929.14","ENSG00000162929",4,21,25
"ENSG00000147100.11","ENSG00000147100",0,6,6
"ENSG00000137727.12","ENSG00000137727",2,45,47
"ENSG00000154721.15","ENSG00000154721",0,5,5
"ENSG00000106617.15","ENSG00000106617",8,9,17
"ENSG00000111581.10","ENSG00000111581",0,6,6
"ENSG00000104936.19","ENSG00000104936",33,159,192
"ENSG00000198056.15","ENSG00000198056",3,1,4
"ENSG00000143603.19","ENSG00000143603",1,17,18
"ENSG00000188906.16","ENSG00000188906",2,9,11
"ENSG00000125827.9","ENSG00000125827",2,13,15
"ENSG00000279495.1","ENSG00000279495",1,48,49
"ENSG00000257596.1","ENSG00000257596",0,2,2
"ENSG00000180537.13","ENSG00000180537",0,0,0
"ENSG00000146263.11","ENSG00000146263",0,1,1
"ENSG00000138074.15","ENSG00000138074",83,5,88
"ENSG00000136122.18","ENSG00000136122",9,21,30
"ENSG00000124766.7","ENSG00000124766",9,10,19
"ENSG00000162769.13","ENSG00000162769",26,8,34
"ENSG00000105509.11","ENSG00000105509",1,0,1
"ENSG00000127337.7","ENSG00000127337",9,6,15
"ENSG00000107562.16","ENSG00000107562",0,14,14
"ENSG00000111364.16","ENSG00000111364",1,0,1
"ENSG00000070950.10","ENSG00000070950",2,7,9
"ENSG00000018408.15","ENSG00000018408",22,135,157
"ENSG00000161638.11","ENSG00000161638",36,31,67
"ENSG00000156218.13","ENSG00000156218",2,69,71
"ENSG00000137094.15","ENSG00000137094",54,127,181
"ENSG00000006634.8","ENSG00000006634",25,6,31
"ENSG00000120915.14","ENSG00000120915",0,0,0
"ENSG00000138162.19","ENSG00000138162",0,7,7
"ENSG00000166295.9","ENSG00000166295",0,0,0
"ENSG00000168060.16","ENSG00000168060",2,0,2
"ENSG00000076706.17","ENSG00000076706",23,147,170
"ENSG00000172465.14","ENSG00000172465",11,2,13
"ENSG00000008300.17","ENSG00000008300",8,1,9
"ENSG00000255642.1","ENSG00000255642",0,79,79
"ENSG00000133943.21","ENSG00000133943",0,1,1
"ENSG00000266256.3","ENSG00000266256",6,0,6
"ENSG00000175785.13","ENSG00000175785",2,2,4
"ENSG00000166912.17","ENSG00000166912",1,0,1
"ENSG00000008735.14","ENSG00000008735",15,3,18
"ENSG00000071967.12","ENSG00000071967",0,34,34
"ENSG00000131711.15","ENSG00000131711",13,119,132
"ENSG00000167676.4","ENSG00000167676",7,24,31
"ENSG00000163507.14","ENSG00000163507",1,1,2
"ENSG00000140451.13","ENSG00000140451",1,2,3
"ENSG00000285077.2","ENSG00000285077",0,0,0
"ENSG00000146966.13","ENSG00000146966",2,6,8
"ENSG00000185842.15","ENSG00000185842",1,1,2
"ENSG00000040608.14","ENSG00000040608",45,4,49
"ENSG00000087586.18","ENSG00000087586",1,1,2
"ENSG00000162520.15","ENSG00000162520",2,61,63
"ENSG00000279204.1","ENSG00000279204",5,3,8
"ENSG00000044524.11","ENSG00000044524",0,10,10
"ENSG00000081052.13","ENSG00000081052",0,8,8
"ENSG00000175287.19","ENSG00000175287",0,3,3
"ENSG00000118523.6","ENSG00000118523",1,0,1
"ENSG00000111728.10","ENSG00000111728",0,13,13
"ENSG00000149609.6","ENSG00000149609",2,1,3
"ENSG00000172171.11","ENSG00000172171",50,22,72
"ENSG00000162104.10","ENSG00000162104",2,68,70
"ENSG00000198838.14","ENSG00000198838",7,113,120
"ENSG00000137124.8","ENSG00000137124",16,163,179
"ENSG00000012048.23","ENSG00000012048",1,3,4
"ENSG00000155970.12","ENSG00000155970",10,69,79
"ENSG00000166592.12","ENSG00000166592",2,1,3
"ENSG00000165996.14","ENSG00000165996",11,100,111
"ENSG00000116161.18","ENSG00000116161",2,2,4
"ENSG00000162814.11","ENSG00000162814",8,2,10
"ENSG00000151789.12","ENSG00000151789",0,0,0
"ENSG00000183682.8","ENSG00000183682",0,1,1
"ENSG00000180340.7","ENSG00000180340",1,7,8
"ENSG00000127328.22","ENSG00000127328",89,0,89
"ENSG00000109775.11","ENSG00000109775",0,0,0
"ENSG00000157514.16","ENSG00000157514",20,1,21
"ENSG00000137449.17","ENSG00000137449",0,0,0
"ENSG00000273373.1","ENSG00000273373",37,1,38
"ENSG00000239697.11","ENSG00000239697",1,34,35
"ENSG00000112208.11","ENSG00000112208",12,172,184
"ENSG00000185022.12","ENSG00000185022",1,2,3
"ENSG00000198832.10","ENSG00000198832",1,0,1
"ENSG00000204131.9","ENSG00000204131",0,57,57
"ENSG00000019991.18","ENSG00000019991",3,20,23
"ENSG00000159433.12","ENSG00000159433",5,48,53
"ENSG00000113621.15","ENSG00000113621",0,0,0
"ENSG00000115041.13","ENSG00000115041",12,62,74
"ENSG00000125450.11","ENSG00000125450",77,2,79
"ENSG00000213222.3","ENSG00000213222",0,1,1
"ENSG00000254986.7","ENSG00000254986",43,10,53
"ENSG00000133466.14","ENSG00000133466",3,16,19
"ENSG00000170989.10","ENSG00000170989",0,0,0
"ENSG00000167779.9","ENSG00000167779",0,52,52
"ENSG00000141905.19","ENSG00000141905",1,70,71
"ENSG00000137033.11","ENSG00000137033",0,20,20
"ENSG00000145012.13","ENSG00000145012",1,172,173
"ENSG00000137135.18","ENSG00000137135",0,2,2
"ENSG00000134352.20","ENSG00000134352",0,13,13
"ENSG00000161544.10","ENSG00000161544",9,2,11
"ENSG00000234636.2","ENSG00000234636",1,0,1
"ENSG00000130528.12","ENSG00000130528",15,2,17
"ENSG00000120802.14","ENSG00000120802",10,11,21
"ENSG00000081041.9","ENSG00000081041",0,3,3
"ENSG00000144642.22","ENSG00000144642",4,59,63
"ENSG00000091129.21","ENSG00000091129",23,0,23
"ENSG00000105825.14","ENSG00000105825",0,3,3
"ENSG00000170381.14","ENSG00000170381",1,1,2
"ENSG00000107130.10","ENSG00000107130",41,170,211
"ENSG00000126524.10","ENSG00000126524",5,1,6
"ENSG00000068383.19","ENSG00000068383",4,83,87
"ENSG00000271888.1","ENSG00000271888",1,0,1
"ENSG00000100625.9","ENSG00000100625",2,18,20
"ENSG00000166979.13","ENSG00000166979",2,0,2
"ENSG00000154429.11","ENSG00000154429",0,1,1
"ENSG00000163072.16","ENSG00000163072",7,1,8
"ENSG00000169994.18","ENSG00000169994",1,1,2
"ENSG00000259319.1","ENSG00000259319",0,0,0
"ENSG00000173208.4","ENSG00000173208",0,45,45
"ENSG00000143727.16","ENSG00000143727",15,3,18
"ENSG00000111341.10","ENSG00000111341",0,4,4
"ENSG00000275437.1","ENSG00000275437",0,4,4
"ENSG00000174348.14","ENSG00000174348",0,6,6
"ENSG00000119865.9","ENSG00000119865",1,14,15
"ENSG00000248309.7","ENSG00000248309",4,72,76
"ENSG00000036672.16","ENSG00000036672",1,0,1
"ENSG00000143632.14","ENSG00000143632",33,18,51
"ENSG00000146122.17","ENSG00000146122",3,30,33
"ENSG00000162804.14","ENSG00000162804",0,1,1
"ENSG00000163132.8","ENSG00000163132",0,12,12
"ENSG00000185418.16","ENSG00000185418",0,1,1
"ENSG00000197702.14","ENSG00000197702",8,96,104
"ENSG00000114859.16","ENSG00000114859",8,3,11
"ENSG00000162772.17","ENSG00000162772",1,0,1
"ENSG00000169126.16","ENSG00000169126",8,80,88
"ENSG00000165457.14","ENSG00000165457",0,1,1
"ENSG00000247373.3","ENSG00000247373",11,9,20
"ENSG00000115364.14","ENSG00000115364",0,1,1
"ENSG00000196843.17","ENSG00000196843",1,0,1
"ENSG00000136011.15","ENSG00000136011",0,5,5
"ENSG00000171791.14","ENSG00000171791",1,1,2
"ENSG00000258498.8","ENSG00000258498",0,3,3
"ENSG00000196182.11","ENSG00000196182",13,1,14
"ENSG00000162222.14","ENSG00000162222",1,1,2
"ENSG00000169554.22","ENSG00000169554",0,23,23
"ENSG00000005249.13","ENSG00000005249",0,0,0
"ENSG00000170779.11","ENSG00000170779",28,7,35
"ENSG00000156876.10","ENSG00000156876",2,0,2
"ENSG00000182272.12","ENSG00000182272",1,2,3
"ENSG00000171357.6","ENSG00000171357",0,1,1
"ENSG00000174282.12","ENSG00000174282",0,10,10
"ENSG00000153044.10","ENSG00000153044",8,5,13
"ENSG00000173546.7","ENSG00000173546",25,160,185
"ENSG00000105613.10","ENSG00000105613",2,0,2
"ENSG00000254389.3","ENSG00000254389",1,1,2
"ENSG00000130522.6","ENSG00000130522",66,1,67
"ENSG00000159200.18","ENSG00000159200",0,0,0
"ENSG00000230479.1","ENSG00000230479",0,1,1
"ENSG00000259363.6","ENSG00000259363",1,4,5
"ENSG00000271943.2","ENSG00000271943",2,1,3
"ENSG00000121075.11","ENSG00000121075",2,106,108
"ENSG00000163661.4","ENSG00000163661",2,0,2
"ENSG00000109445.11","ENSG00000109445",0,0,0
"ENSG00000260920.2","ENSG00000260920",0,5,5
"ENSG00000198853.12","ENSG00000198853",43,99,142
"ENSG00000263155.6","ENSG00000263155",6,89,95
